State,Year,South,StCode,UnemPct,PresApprov,State Year
Alabama,1980,1,1,8.4,30,1
Alabama,1981,1,1,9.7,60,2
Alabama,1981,1,1,9.7,60,3
Alabama,1981,1,1,9.7,50,4
Alabama,1982,1,1,13.2,40,5
Alabama,1982,1,1,13.2,38,6
Alabama,1983,1,1,12.8,39,7
Alabama,1983,1,1,12.8,47,8
Alabama,1984,1,1,10.2,58,9
Alabama,1984,1,1,10.2,50,10
Alabama,1985,1,1,8.6,55,11
Alabama,1985,1,1,8.6,57,12
Alabama,1986,1,1,9.1,62,13
Alabama,1987,1,1,7.6,56,14
Alabama,1987,1,1,7.6,54,15
Alabama,1988,1,1,6.9,56,16
Alabama,1988,1,1,6.9,61,17
Alabama,1988,1,1,6.9,61,18
Alabama,1988,1,1,6.9,56,19
Alabama,1989,1,1,6.6,52,20
Alabama,1989,1,1,6.6,52,21
Alabama,1990,1,1,6.3,48,22
Alabama,1990,1,1,6.3,48,23
Alabama,1991,1,1,6.9,56,24
Alabama,1991,1,1,6.9,69,25
Alabama,1992,1,1,6.9,47,26
Alabama,1992,1,1,6.9,47,27
Alabama,1993,1,1,6.6,31,28
Alabama,1994,1,1,5.4,31,29
Alabama,1994,1,1,5.4,34,30
Alabama,1994,1,1,5.4,34,31
Alabama,1995,1,1,5.2,35,32
Alabama,1995,1,1,5.2,24,33
Alabama,1996,1,1,4.5,34,34
Alabama,1996,1,1,4.5,37,35
Alabama,1996,1,1,4.5,39,36
Alabama,1996,1,1,4.5,37,37
Alabama,1996,1,1,4.5,41,38
Alabama,1996,1,1,4.5,39,39
Alabama,1997,1,1,4.4,39,40
Alabama,1998,1,1,3.9,55,41
Alabama,1998,1,1,3.9,37,42
Alabama,1998,1,1,3.9,38,43
Alabama,2003,1,1,5.4,66,44
Alabama,2003,1,1,5.4,65,45
Alabama,2005,1,1,3.8,50,46
Alabama,2005,1,1,3.8,54,47
Alabama,2005,1,1,3.8,46,48
Alabama,2005,1,1,3.8,52,49
Alabama,2005,1,1,3.8,54,50
Alabama,2005,1,1,3.8,51,51
Alabama,2005,1,1,3.8,48,52
Alabama,2006,1,1,3.5,45,53
Alabama,2006,1,1,3.5,45,54
Alabama,2006,1,1,3.5,53,55
Alabama,2006,1,1,3.5,43,56
Alabama,2006,1,1,3.5,51,57
Alabama,2006,1,1,3.5,51,58
Alabama,2006,1,1,3.5,47,59
Alabama,2006,1,1,3.5,50,60
Alabama,2006,1,1,3.5,47,61
Alabama,2006,1,1,3.5,42,62
Alabama,2006,1,1,3.5,46,63
Alabama,2006,1,1,3.5,44,64
Alabama,2007,1,1,3.5,44,65
Alabama,2007,1,1,3.5,43,66
Alabama,2007,1,1,3.5,41,67
Alabama,2007,1,1,3.5,45,68
Alabama,2007,1,1,3.5,46,69
Alabama,2007,1,1,3.5,43,70
Alabama,2007,1,1,3.5,41,71
Alabama,2007,1,1,3.5,42,72
Alabama,2007,1,1,3.5,46,73
Alabama,2007,1,1,3.5,42,74
Alabama,2007,1,1,3.5,42,75
Alabama,2007,1,1,3.5,41,76
Alabama,2007,1,1,3.5,45,77
Alabama,2008,1,1,5,42,78
Alabama,2008,1,1,5,41,79
Alabama,2008,1,1,5,44,80
Alabama,2008,1,1,5,41,81
Alabama,2008,1,1,5,45,82
Alabama,2008,1,1,5,44,83
Alabama,2008,1,1,5,44,84
Alabama,2008,1,1,5,45,85
Alabama,2008,1,1,5,40,86
Alabama,2008,1,1,5,45,87
Alabama,2008,1,1,5,45,88
Alaska,1994,0,2,7.5,39,1
Alaska,1996,0,2,7.5,36,2
Alaska,2005,0,2,6.9,50,3
Alaska,2005,0,2,6.9,53,4
Alaska,2005,0,2,6.9,49,5
Alaska,2005,0,2,6.9,52,6
Alaska,2005,0,2,6.9,47,7
Alaska,2005,0,2,6.9,46,8
Alaska,2005,0,2,6.9,51,9
Alaska,2006,0,2,6.5,48,10
Alaska,2006,0,2,6.5,49,11
Alaska,2006,0,2,6.5,43,12
Alaska,2006,0,2,6.5,45,13
Alaska,2006,0,2,6.5,44,14
Alaska,2006,0,2,6.5,47,15
Alaska,2006,0,2,6.5,52,16
Alaska,2006,0,2,6.5,43,17
Alaska,2006,0,2,6.5,43,18
Alaska,2006,0,2,6.5,47,19
Alaska,2006,0,2,6.5,47,20
Alaska,2007,0,2,6.2,42,21
Alaska,2008,0,2,6.7,39,22
Alaska,2008,0,2,6.7,37,23
Arizona,1991,0,3,5.7,76,1
Arizona,1991,0,3,5.7,62,2
Arizona,1991,0,3,5.7,53,3
Arizona,1991,0,3,5.7,82,4
Arizona,1993,0,3,6.4,32,5
Arizona,1993,0,3,6.4,32,6
Arizona,1993,0,3,6.4,36,7
Arizona,1993,0,3,6.4,52,8
Arizona,1993,0,3,6.4,33,9
Arizona,1993,0,3,6.4,72,10
Arizona,1993,0,3,6.4,62,11
Arizona,1993,0,3,6.4,47,12
Arizona,1993,0,3,6.4,63,13
Arizona,1994,0,3,6.1,36,14
Arizona,1994,0,3,6.1,32,15
Arizona,1994,0,3,6.1,36,16
Arizona,1994,0,3,6.1,40,17
Arizona,1994,0,3,6.1,28,18
Arizona,1994,0,3,6.1,45,19
Arizona,1995,0,3,5.3,26,20
Arizona,1995,0,3,5.3,28,21
Arizona,1995,0,3,5.3,28,22
Arizona,1995,0,3,5.3,35,23
Arizona,1995,0,3,5.3,32,24
Arizona,1995,0,3,5.3,27,25
Arizona,1995,0,3,5.3,28,26
Arizona,1996,0,3,5.5,37,27
Arizona,1996,0,3,5.5,45,28
Arizona,1996,0,3,5.5,31,29
Arizona,1996,0,3,5.5,34,30
Arizona,1996,0,3,5.5,48,31
Arizona,1997,0,3,4.6,49,32
Arizona,1997,0,3,4.6,43,33
Arizona,1997,0,3,4.6,41,34
Arizona,1997,0,3,4.6,46,35
Arizona,1997,0,3,4.6,43,36
Arizona,1998,0,3,4.3,45,37
Arizona,1998,0,3,4.3,46,38
Arizona,1998,0,3,4.3,50,39
Arizona,1998,0,3,4.3,43,40
Arizona,1999,0,3,4.5,66,41
Arizona,1999,0,3,4.5,38,42
Arizona,1999,0,3,4.5,42,43
Arizona,1999,0,3,4.5,47,44
Arizona,1999,0,3,4.5,43,45
Arizona,1999,0,3,4.5,46,46
Arizona,2000,0,3,4,42,47
Arizona,2001,0,3,4.7,79,48
Arizona,2001,0,3,4.7,79,49
Arizona,2001,0,3,4.7,86,50
Arizona,2002,0,3,6,66,51
Arizona,2002,0,3,6,77,52
Arizona,2002,0,3,6,63,53
Arizona,2002,0,3,6,58,54
Arizona,2002,0,3,6,79,55
Arizona,2003,0,3,5.7,69,56
Arizona,2003,0,3,5.7,51,57
Arizona,2003,0,3,5.7,50,58
Arizona,2003,0,3,5.7,38,59
Arizona,2003,0,3,5.7,56,60
Arizona,2003,0,3,5.7,47,61
Arizona,2003,0,3,5.7,65,62
Arizona,2003,0,3,5.7,57,63
Arizona,2003,0,3,5.7,65,64
Arizona,2004,0,3,5,48,65
Arizona,2004,0,3,5,50,66
Arizona,2004,0,3,5,48,67
Arizona,2004,0,3,5,53,68
Arizona,2004,0,3,5,47,69
Arizona,2004,0,3,5,52,70
Arizona,2004,0,3,5,51,71
Arizona,2004,0,3,5,51,72
Arizona,2004,0,3,5,50,73
Arizona,2004,0,3,5,45,74
Arizona,2004,0,3,5,52,75
Arizona,2004,0,3,5,51,76
Arizona,2005,0,3,4.6,48,77
Arizona,2005,0,3,4.6,40,78
Arizona,2005,0,3,4.6,43,79
Arizona,2005,0,3,4.6,35,80
Arizona,2005,0,3,4.6,44,81
Arizona,2005,0,3,4.6,43,82
Arizona,2005,0,3,4.6,40,83
Arizona,2005,0,3,4.6,45,84
Arizona,2005,0,3,4.6,43,85
Arizona,2005,0,3,4.6,40,86
Arizona,2005,0,3,4.6,44,87
Arizona,2005,0,3,4.6,46,88
Arizona,2006,0,3,4.1,45,89
Arizona,2006,0,3,4.1,44,90
Arizona,2006,0,3,4.1,40,91
Arizona,2006,0,3,4.1,43,92
Arizona,2006,0,3,4.1,43,93
Arizona,2006,0,3,4.1,50,94
Arizona,2006,0,3,4.1,45,95
Arizona,2006,0,3,4.1,39,96
Arizona,2006,0,3,4.1,39,97
Arizona,2006,0,3,4.1,42,98
Arizona,2006,0,3,4.1,41,99
Arizona,2006,0,3,4.1,43,100
Arizona,2006,0,3,4.1,43,101
Arizona,2007,0,3,3.8,36,102
Arizona,2007,0,3,3.8,34,103
Arizona,2008,0,3,5.5,34,104
Arkansas,1991,1,4,7.2,63,1
Arkansas,1993,1,4,6.1,39,2
Arkansas,1993,1,4,6.1,36,3
Arkansas,1994,1,4,5.3,47,4
Arkansas,1994,1,4,5.3,42,5
Arkansas,1994,1,4,5.3,51,6
Arkansas,1995,1,4,4.8,38,7
Arkansas,1996,1,4,5.1,49,8
Arkansas,1996,1,4,5.1,58,9
Arkansas,1997,1,4,5.1,54,10
Arkansas,1998,1,4,5,61,11
Arkansas,1998,1,4,5,56,12
Arkansas,2001,1,4,4.7,87,13
Arkansas,2002,1,4,5.3,70,14
Arkansas,2002,1,4,5.3,62,15
Arkansas,2002,1,4,5.3,61,16
Arkansas,2002,1,4,5.3,75,17
Arkansas,2002,1,4,5.3,64,18
Arkansas,2003,1,4,5.8,47,19
Arkansas,2004,1,4,5.6,50,20
Arkansas,2004,1,4,5.6,51,21
Arkansas,2005,1,4,5.1,38,22
Arkansas,2005,1,4,5.1,38,23
Arkansas,2005,1,4,5.1,44,24
Arkansas,2005,1,4,5.1,40,25
Arkansas,2005,1,4,5.1,38,26
Arkansas,2005,1,4,5.1,41,27
Arkansas,2005,1,4,5.1,41,28
Arkansas,2005,1,4,5.1,40,29
Arkansas,2006,1,4,5.2,37,30
Arkansas,2006,1,4,5.2,41,31
Arkansas,2006,1,4,5.2,32,32
Arkansas,2006,1,4,5.2,38,33
Arkansas,2006,1,4,5.2,36,34
Arkansas,2006,1,4,5.2,35,35
Arkansas,2006,1,4,5.2,44,36
Arkansas,2006,1,4,5.2,38,37
Arkansas,2006,1,4,5.2,38,38
Arkansas,2006,1,4,5.2,34,39
Arkansas,2006,1,4,5.2,41,40
Arkansas,2006,1,4,5.2,34,41
Arkansas,2006,1,4,5.2,35,42
Arkansas,2006,1,4,5.2,36,43
Arkansas,2007,1,4,5.1,30,44
Arkansas,2008,1,4,5.1,27,45
California,1977,0,5,8.3,53,1
California,1981,0,5,7.4,64,2
California,1984,0,5,7.8,16,3
California,1989,0,5,5.1,42,4
California,1989,0,5,5.1,48,5
California,1989,0,5,5.1,26,6
California,1990,0,5,5.8,63,7
California,1990,0,5,5.8,43,8
California,1990,0,5,5.8,64,9
California,1990,0,5,5.8,62,10
California,1990,0,5,5.8,55,11
California,1990,0,5,5.8,61,12
California,1991,0,5,7.8,82,13
California,1991,0,5,7.8,67,14
California,1991,0,5,7.8,57,15
California,1991,0,5,7.8,53,16
California,1991,0,5,7.8,75,17
California,1991,0,5,7.8,66,18
California,1991,0,5,7.8,74,19
California,1991,0,5,7.8,65,20
California,1991,0,5,7.8,65,21
California,1991,0,5,7.8,68,22
California,1991,0,5,7.8,84,23
California,1992,0,5,9.4,46,24
California,1993,0,5,9.5,49,25
California,1993,0,5,9.5,50,26
California,1993,0,5,9.5,45,27
California,1993,0,5,9.5,58,28
California,1993,0,5,9.5,31,29
California,1993,0,5,9.5,50,30
California,1993,0,5,9.5,38,31
California,1993,0,5,9.5,42,32
California,1993,0,5,9.5,51,33
California,1993,0,5,9.5,50,34
California,1993,0,5,9.5,51,35
California,1993,0,5,9.5,27,36
California,1994,0,5,8.6,35,37
California,1994,0,5,8.6,38,38
California,1994,0,5,8.6,35,39
California,1994,0,5,8.6,32,40
California,1994,0,5,8.6,32,41
California,1994,0,5,8.6,56,42
California,1994,0,5,8.6,50,43
California,1994,0,5,8.6,47,44
California,1994,0,5,8.6,44,45
California,1994,0,5,8.6,42,46
California,1994,0,5,8.6,50,47
California,1994,0,5,8.6,43,48
California,1994,0,5,8.6,59,49
California,1994,0,5,8.6,39,50
California,1994,0,5,8.6,44,51
California,1995,0,5,7.9,41,52
California,1995,0,5,7.9,52,53
California,1995,0,5,7.9,33,54
California,1995,0,5,7.9,50,55
California,1995,0,5,7.9,38,56
California,1995,0,5,7.9,51,57
California,1995,0,5,7.9,36,58
California,1995,0,5,7.9,37,59
California,1995,0,5,7.9,52,60
California,1995,0,5,7.9,36,61
California,1996,0,5,7.3,62,62
California,1996,0,5,7.3,38,63
California,1996,0,5,7.3,51,64
California,1996,0,5,7.3,48,65
California,1996,0,5,7.3,60,66
California,1996,0,5,7.3,58,67
California,1996,0,5,7.3,55,68
California,1996,0,5,7.3,55,69
California,1996,0,5,7.3,55,70
California,1996,0,5,7.3,56,71
California,1996,0,5,7.3,57,72
California,1996,0,5,7.3,60,73
California,1996,0,5,7.3,50,74
California,1997,0,5,6.4,61,75
California,1997,0,5,6.4,51,76
California,1997,0,5,6.4,55,77
California,1997,0,5,6.4,51,78
California,1997,0,5,6.4,61,79
California,1997,0,5,6.4,54,80
California,1997,0,5,6.4,63,81
California,1997,0,5,6.4,61,82
California,1998,0,5,6,31,83
California,1998,0,5,6,86,84
California,1998,0,5,6,72,85
California,1998,0,5,6,65,86
California,1998,0,5,6,63,87
California,1998,0,5,6,61,88
California,1998,0,5,6,60,89
California,1998,0,5,6,52,90
California,1998,0,5,6,65,91
California,1998,0,5,6,68,92
California,1999,0,5,5.3,60,93
California,1999,0,5,5.3,57,94
California,1999,0,5,5.3,68,95
California,1999,0,5,5.3,58,96
California,1999,0,5,5.3,55,97
California,2000,0,5,4.9,64,98
California,2000,0,5,4.9,58,99
California,2001,0,5,5.4,74,100
California,2001,0,5,5.4,42,101
California,2001,0,5,5.4,74,102
California,2001,0,5,5.4,74,103
California,2001,0,5,5.4,80,104
California,2002,0,5,6.7,63,105
California,2002,0,5,6.7,69,106
California,2002,0,5,6.7,72,107
California,2002,0,5,6.7,76,108
California,2002,0,5,6.7,54,109
California,2002,0,5,6.7,75,110
California,2002,0,5,6.7,54,111
California,2003,0,5,6.8,56,112
California,2003,0,5,6.8,57,113
California,2003,0,5,6.8,49,114
California,2003,0,5,6.8,48,115
California,2003,0,5,6.8,51,116
California,2003,0,5,6.8,61,117
California,2003,0,5,6.8,51,118
California,2003,0,5,6.8,50,119
California,2003,0,5,6.8,53,120
California,2003,0,5,6.8,46,121
California,2004,0,5,6.2,43,122
California,2004,0,5,6.2,54,123
California,2004,0,5,6.2,47,124
California,2004,0,5,6.2,43,125
California,2004,0,5,6.2,49,126
California,2004,0,5,6.2,40,127
California,2004,0,5,6.2,40,128
California,2004,0,5,6.2,52,129
California,2004,0,5,6.2,43,130
California,2004,0,5,6.2,44,131
California,2004,0,5,6.2,43,132
California,2004,0,5,6.2,49,133
California,2004,0,5,6.2,38,134
California,2005,0,5,5.4,33,135
California,2005,0,5,5.4,37,136
California,2005,0,5,5.4,35,137
California,2005,0,5,5.4,31,138
California,2005,0,5,5.4,32,139
California,2005,0,5,5.4,32,140
California,2005,0,5,5.4,34,141
California,2005,0,5,5.4,33,142
California,2005,0,5,5.4,39,143
California,2005,0,5,5.4,34,144
California,2005,0,5,5.4,39,145
California,2006,0,5,4.9,32,146
California,2006,0,5,4.9,31,147
California,2006,0,5,4.9,28,148
California,2006,0,5,4.9,30,149
California,2006,0,5,4.9,30,150
California,2006,0,5,4.9,32,151
California,2006,0,5,4.9,33,152
California,2006,0,5,4.9,38,153
California,2006,0,5,4.9,28,154
California,2006,0,5,4.9,32,155
California,2006,0,5,4.9,30,156
California,2006,0,5,4.9,28,157
California,2006,0,5,4.9,33,158
California,2006,0,5,4.9,30,159
California,2006,0,5,4.9,32,160
California,2006,0,5,4.9,38,161
California,2006,0,5,4.9,32,162
California,2006,0,5,4.9,28,163
California,2006,0,5,4.9,27,164
California,2006,0,5,4.9,35,165
California,2006,0,5,4.9,36,166
California,2006,0,5,4.9,34,167
California,2007,0,5,5.4,25,168
California,2007,0,5,5.4,23,169
California,2007,0,5,5.4,26,170
California,2007,0,5,5.4,28,171
California,2007,0,5,5.4,29,172
California,2007,0,5,5.4,32,173
California,2007,0,5,5.4,24,174
California,2007,0,5,5.4,29,175
California,2007,0,5,5.4,26,176
California,2007,0,5,5.4,26,177
California,2007,0,5,5.4,34,178
California,2007,0,5,5.4,26,179
California,2007,0,5,5.4,27,180
California,2007,0,5,5.4,33,181
California,2007,0,5,5.4,26,182
California,2007,0,5,5.4,27,183
California,2007,0,5,5.4,28,184
California,2007,0,5,5.4,25,185
California,2007,0,5,5.4,27,186
California,2007,0,5,5.4,21,187
California,2007,0,5,5.4,28,188
California,2007,0,5,5.4,28,189
California,2007,0,5,5.4,27,190
California,2007,0,5,5.4,26,191
California,2007,0,5,5.4,29,192
California,2008,0,5,7.2,27,193
California,2008,0,5,7.2,24,194
California,2008,0,5,7.2,31,195
California,2008,0,5,7.2,24,196
California,2008,0,5,7.2,23,197
California,2008,0,5,7.2,25,198
California,2008,0,5,7.2,26,199
California,2008,0,5,7.2,24,200
California,2008,0,5,7.2,25,201
California,2008,0,5,7.2,19,202
California,2008,0,5,7.2,28,203
California,2008,0,5,7.2,24,204
California,2008,0,5,7.2,24,205
California,2008,0,5,7.2,27,206
California,2008,0,5,7.2,26,207
California,2008,0,5,7.2,27,208
California,2008,0,5,7.2,26,209
Colorado,1993,0,6,5.3,59,1
Colorado,1993,0,6,5.3,47,2
Colorado,1993,0,6,5.3,49,3
Colorado,1993,0,6,5.3,39,4
Colorado,1993,0,6,5.3,43,5
Colorado,1993,0,6,5.3,44,6
Colorado,1994,0,6,4.3,38,7
Colorado,1994,0,6,4.3,36,8
Colorado,1994,0,6,4.3,33,9
